"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2022","19,165.3","19,045.3","19,248.0","18,679.8","24.19K","0.63%"
"10/20/2022","19,045.3","19,124.0","19,338.8","18,932.5","28.40K","-0.42%"
"10/19/2022","19,125.9","19,328.8","19,355.9","19,095.2","22.28K","-1.05%"
"10/18/2022","19,328.8","19,548.8","19,700.7","19,100.6","27.64K","-1.13%"
"10/17/2022","19,548.8","19,265.1","19,669.2","19,156.9","24.14K","1.49%"
"10/16/2022","19,261.3","19,070.3","19,419.6","19,067.8","8.31K","1.01%"
"10/15/2022","19,067.9","19,185.8","19,220.7","18,997.6","9.06K","-0.61%"
"10/14/2022","19,185.8","19,380.2","19,939.4","19,087.5","46.21K","-1.01%"
"10/13/2022","19,381.9","19,155.6","19,494.8","18,213.0","49.15K","1.18%"
"10/12/2022","19,155.6","19,052.3","19,224.8","18,987.2","24.85K","0.54%"
"10/11/2022","19,052.3","19,136.1","19,260.5","18,862.2","36.23K","-0.44%"
"10/10/2022","19,136.1","19,446.3","19,522.8","19,053.6","26.59K","-1.59%"
"10/09/2022","19,445.9","19,418.8","19,560.9","19,323.2","12.53K","0.14%"
"10/08/2022","19,419.3","19,538.1","19,613.0","19,273.0","9.74K","-0.57%"
"10/07/2022","19,530.6","19,958.9","20,055.5","19,335.6","34.94K","-2.19%"
"10/06/2022","19,968.5","20,161.1","20,448.8","19,864.9","44.04K","-0.96%"
"10/05/2022","20,161.1","20,345.1","20,368.3","19,756.8","33.54K","-0.90%"
"10/04/2022","20,345.1","19,627.2","20,455.3","19,509.5","32.69K","3.60%"
"10/03/2022","19,637.3","19,059.3","19,675.2","18,988.0","28.57K","3.03%"
"10/02/2022","19,059.3","19,313.9","19,397.3","18,926.4","12.95K","-1.32%"
"10/01/2022","19,313.9","19,421.7","19,481.3","19,195.7","7.34K","-0.56%"
"09/30/2022","19,423.3","19,596.4","20,177.4","19,196.6","34.24K","-0.84%"
"09/29/2022","19,588.6","19,411.3","19,639.4","18,867.8","34.78K","0.90%"
"09/28/2022","19,414.0","19,079.5","19,768.3","18,496.6","43.71K","1.75%"
"09/27/2022","19,079.5","19,225.5","20,365.6","18,836.9","51.85K","-0.75%"
"09/26/2022","19,224.4","18,802.8","19,308.4","18,695.2","33.09K","2.23%"
"09/25/2022","18,804.8","18,927.2","19,167.9","18,638.5","14.48K","-0.64%"
"09/24/2022","18,926.4","19,289.7","19,309.1","18,811.5","17.64K","-1.90%"
"09/23/2022","19,293.4","19,405.4","19,484.6","18,541.2","30.77K","-0.56%"
"09/22/2022","19,402.8","18,486.9","19,499.8","18,363.7","41.00K","4.93%"
